            reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
L20090356     4143404                1836178                1983663               63255677               59275618                  1484                   1052632              3089288
L2DZ0984      4646226                1890089                2095516               74989294               69346878                  1654                   1202751              3441821
L2DZ0988      4948408                2195090                2371398               71173489               62383199                  1935                   1213140              3733333
L2DZ0989      4209024                1803353                1950326               62485246               60599462                  1577                   1024033              3183414
L2DZ0990      4621835                1962933                2150203               72114365               66128652                  1712                   1159538              3460585
L2DZ1006      5374956                2280002                2505634               84077181               80912207                  2086                   1351381              4021489
L2DZ1007     11892770                4706759                5034816              168913958              164717208                  5150                   2702750              9184870
L2DZ1011      6693134                3624321                3961348               86732099               80052453                  2396                   2099285              4591453
L2DZ1016      3530139                1642422                1805381               48107589               46281120                  1311                    954007              2574821
L2DZ1019      3530693                1887432                2072029               45233956               41157858                  1324                   1025706              2503663
L2DZ1027      4966324                2357098                2638818               62139412               56572865                  2056                   1264112              3700156
L2DZ1060     17032493                8013646                8772581              254941590              249402537                  6638                   5074459             11951396
L2DZ1070      4923001                2343368                2610508               66679088               62050522                  1964                   1250222              3670815
L2DZ1180      5033450                2313686                2571001               64680210               61703875                  2029                   1348881              3682540
L2DZ1204      3181084                1343949                1490394               36803227               32769351                  1370                    782413              2397301
L2DZ1243      7191830                3488539                3883035              100164109               88396699                  2714                   1936702              5252414
L2DZ1266      3541675                1559103                1730058               40613748               37624623                  1512                    853992              2686171
L2DZ1268      3100815                1486965                1620348               39071785               32666356                  1183                    874607              2225025
L2DZ1282_1    4952132                2503318                2754071               50619539               43347223                  2312                   1248674              3701146
LHW10069      3904068                1866054                1995529               56376984               52331332                  1446                    956804              2945818
LHW10071      3783541                1670484                1836658               60754596               52259680                  1304                    874815              2907422
LHW10074      8501019                3733839                4097122              153939302              136737730                  2685                   2390003              6108331
LHW10346      7495635                3706772                3969318               90700899               81761205                  3242                   2071547              5420846
LJ-118        4364004                1890362                2057156               58391505               56548438                  1787                   1088482              3273735
d19long1      3580553                1746517                1923101               45812175               34159704                  1622                    930992              2647939
d30181        5345344                2755112                3026994               68995303               59709149                  2248                   1395067              3948029
d30695        6166266                2391427                2682744               97287189               84944034                  2379                   1371447              4792440
d31733        6208053                2973431                3261668               66151239               63047526                  2888                   1425078              4780087
d33291        1157705                 524811                 589705               16526526               15800251                   447                    291291               865967
d34041        1389574                 964397                1025083               22476328               20190081                   406                    536687               852481
d35178        3322840                2217883                2413542               47372678               41892034                  1197                   1132449              2189194
d35320        1633896                 803814                 889108               16095709               15334587                   767                    370235              1262894
d35371         778354                 496419                 540706               12206333               10380211                   254                    265539               512561
d35422        3777487                2680207                2846113               52271957               42746133                  1168                   1632857              2143462
d39103        3682180                1522856                1672577               51659527               48883426                  1412                    844390              2836378
d39104        3966604                2769561                2934815               45646813               36575349                  1452                   1648171              2316981
d39114        2855962                1259197                1400503               30038036               27930263                  1335                    597661              2256966
d39187        1221988                 535125                 587679               15497087               14621126                   512                    261941               959535
d39253        7643663                3006405                3391039               96845683               77421511                  3066                   1596422              6044175
d39404        3360433                1155714                1300363               34146048               31470215                  1648                    637714              2721071
d39531        4249711                1657997                1864254               41308373               36344557                  2105                    825098              3422508
d39968        4807963                2188882                2400461               61270628               57039828                  1935                   1088924              3717104
d40328        2129844                1068121                1185409               24341013               21933566                   889                    537475              1591480
d41058        3027359                2059493                2178851               39306362               33606042                  1061                   1188566              1837732
d41237        2385580                1681316                1790463               32394562               27320013                   806                    801008              1583766
d41389        3218403                1960224                2134648               45489407               36191532                  1139                    985056              2232208
d41732        3176684                2044786                2185539               51205427               44048505                   962                   1061376              2114346
decor21       6548195                3927097                4211874               89613649               80850691                  2541                   1948289              4597365
