            merged_pairs  clusters_total  clusters_hidepth  avg_depth_total  avg_depth_mj  avg_depth_stat  sd_depth_total  sd_depth_mj  sd_depth_stat  filtered_bad_align
L20090356      3089288.0        444900.0           47137.0         5.015612     35.624265       35.624265      106.182879   324.596208     324.596208             11945.0
L2DZ0984       3441821.0        345536.0           33714.0         5.247077     40.436466       40.436466       53.849834   168.346211     168.346211                 0.0
L2DZ0988       3733333.0        584300.0           40626.0         4.247383     43.418673       43.418673       40.409966   147.746402     147.746402                 0.0
L2DZ0989       3183414.0        446267.0           32961.0         4.733476     47.058220       47.058220      147.471213   540.837918     540.837918              5562.0
L2DZ0990       3460585.0        392360.0           44279.0         6.303945     44.670747       44.670747       89.305680   262.690295     262.690295                 0.0
L2DZ1006       4021489.0        920908.0           62777.0         3.231374     27.188031       27.188031       25.411026    94.045157      94.045157                 0.0
L2DZ1007       9184870.0        596450.0           69749.0         8.015701     57.020144       57.020144      164.285413   477.569879     477.569879                 0.0
L2DZ1011       4591453.0        366986.0           33245.0         7.451745     67.431433       67.431433      165.125751   545.001324     545.001324              4036.0
L2DZ1016       2574821.0        321589.0           23658.0         5.052455     51.681968       51.681968       58.498968   210.150087     210.150087              9239.0
L2DZ1019       2503663.0        619604.0           27894.0         3.142331     41.005879       41.005879       45.580512   211.270320     211.270320              7480.0
L2DZ1027       3700156.0        640479.0           47833.0         4.062831     37.168210       37.168210       36.874146   130.435393     130.435393                 0.0
L2DZ1060      11951396.0       1037905.0           81706.0         5.751079     55.210866       55.210866      273.476342   973.333130     973.333130                 0.0
L2DZ1070       3670815.0        604879.0           57435.0         4.741130     36.513154       36.513154       74.633159   239.873450     239.873450             18874.0
L2DZ1180       3682540.0        500335.0           40154.0         4.805744     43.515615       43.515615       54.385147   187.662092     187.662092                 0.0
L2DZ1204       2397301.0        240744.0           17340.0         5.699307     61.668454       61.668454       50.255642   177.992297     177.992297                 0.0
L2DZ1243       5252414.0        516679.0           50613.0         6.479870     52.704542       52.704542      267.208466   852.354836     852.354836                 0.0
L2DZ1266       2686171.0        327840.0           23342.0         5.444467     57.381030       57.381030       49.741902   178.427940     178.427940                 0.0
L2DZ1268       2225025.0        284601.0           16381.0         4.838901     62.213052       62.213052       75.708838   309.970202     309.970202                 0.0
L2DZ1282_1     3701146.0        209561.0           21122.0         8.971059     75.882966       75.882966      130.070653   403.569317     403.569317                 0.0
LHW10069       2945818.0        346860.0           35200.0         5.767754     44.339432       44.339432      272.445276   854.261709     854.261709              5058.0
LHW10071       2907422.0        363977.0           30606.0         5.160145     46.322453       46.322453      402.306325  1386.694788    1386.694788                 0.0
LHW10074       6108331.0        759811.0           73054.0         5.198510     40.626112       40.626112       50.242762   157.667089     157.667089             18342.0
LHW10346       5420846.0        299374.0           15857.0         8.173295    130.850855      130.850855      163.807646   700.495971     700.495971            156774.0
LJ-118         3273735.0        421105.0           28167.0         4.885136     54.200305       54.200305       54.551780   204.634983     204.634983             95850.0
d19long1       2647939.0        171990.0            8812.0         6.960213    111.745120      111.745120      129.678620   562.705454     562.705454             78351.0
d30181         3948029.0        475479.0           46180.0         5.440970     41.875769       41.875769       69.673039   220.232135     220.232135              4071.0
d30695         4792440.0        526183.0           45541.0         5.332133     46.209613       46.209613       62.272758   207.286222     207.286222             11949.0
d31733         4780087.0        448588.0           37186.0         6.173201     57.708815       57.708815      114.504218   394.030283     394.030283                 0.0
d33291          865967.0        174267.0           12267.0         4.216111     40.095133       40.095133       22.513413    76.192640      76.192640                 0.0
d34041          852481.0        156352.0           15931.0         4.965738     34.247379       34.247379       31.245264    92.831856      92.831856                 0.0
d35178         2189194.0        359603.0           37152.0         5.133022     35.761789       35.761789       46.987299   142.532472     142.532472                 0.0
d35320         1262894.0        162412.0            9455.0         5.350300     69.380645       69.380645       46.098532   179.276704     179.276704             29130.0
d35371          512561.0         54200.0            5573.0         7.858616     63.771039       63.771039       49.416568   142.332501     142.332501                 0.0
d35422         2143462.0        147716.0           10569.0         9.026476    107.585864      107.585864      115.428311   419.218724     419.218724                 0.0
d39103         2836378.0        645998.0           50730.0         3.478802     26.429627       26.429627       26.333134    90.817414      90.817414                 0.0
d39104         2316981.0         90566.0            6676.0        13.346565    162.646944      162.646944      178.188992   637.699372     637.699372                 0.0
d39114         2256966.0        223422.0           26706.0         6.481555     43.065528       43.065528       73.741715   209.680058     209.680058                 0.0
d39187          959535.0        111203.0           11958.0         6.469466     47.120672       47.120672       42.287851   121.532956     121.532956                 0.0
d39253         6044175.0        475190.0           44446.0         6.935148     59.609369       59.609369      115.422837   373.317946     373.317946                 0.0
d39404         2721071.0        267647.0           22958.0         5.519722     48.719836       48.719836      201.907580   687.904374     687.904374              2034.0
d39531         3422508.0        355282.0           26686.0         5.471578     54.943978       54.943978      113.291314   410.147040     410.147040              3048.0
d39968         3717104.0        470533.0           52419.0         5.543275     38.018905       38.018905       45.999424   133.415815     133.415815                 0.0
d40328         1591480.0        132941.0           18787.0         8.352668     49.802363       49.802363       57.469244   146.165289     146.165289              2165.0
d41058         1837732.0        293565.0           11909.0         4.310047     73.575867       73.575867       62.672606   302.999682     302.999682                 0.0
d41237         1583766.0        249740.0            9601.0         4.995211     93.599625       93.599625       82.651744   411.719120     411.719120             21575.0
d41389         2232208.0        188220.0           17762.0         7.991526     70.725087       70.725087       97.199553   309.454815     309.454815                 0.0
d41732         2114346.0        395227.0           21693.0         4.259777     50.509058       50.509058       52.933809   220.842901     220.842901                 0.0
decor21        4597365.0        496760.0           38826.0         6.248106     61.203987       61.203987       98.343720   347.065586     347.065586              8438.0
