            hetero_est  error_est
L20090356     0.013427   0.002757
L2DZ0984      0.019322   0.003514
L2DZ0988      0.020708   0.003572
L2DZ0989      0.016273   0.002920
L2DZ0990      0.017015   0.003297
L2DZ1006      0.021318   0.003632
L2DZ1007      0.021375   0.003716
L2DZ1011      0.021914   0.003349
L2DZ1016      0.022620   0.003347
L2DZ1019      0.036494   0.004319
L2DZ1027      0.024224   0.003740
L2DZ1060      0.022116   0.003869
L2DZ1070      0.029652   0.004757
L2DZ1180      0.025073   0.003848
L2DZ1204      0.022970   0.002986
L2DZ1243      0.018759   0.003120
L2DZ1266      0.015896   0.002771
L2DZ1268      0.027241   0.003604
L2DZ1282_1    0.021217   0.003013
LHW10069      0.026157   0.004026
LHW10071      0.036022   0.005045
LHW10074      0.032020   0.005729
LHW10346      0.021093   0.002648
LJ-118        0.025318   0.003416
d19long1      0.024391   0.002762
d30181        0.021150   0.003600
d30695        0.025281   0.003649
d31733        0.023460   0.003553
d33291        0.029041   0.003285
d34041        0.028219   0.003975
d35178        0.023838   0.003027
d35320        0.024812   0.002554
d35371        0.017412   0.002132
d35422        0.039364   0.003466
d39103        0.032453   0.005048
d39104        0.025123   0.002358
d39114        0.018660   0.002719
d39187        0.025161   0.002998
d39253        0.026938   0.004090
d39404        0.031835   0.003788
d39531        0.025329   0.003178
d39968        0.027107   0.004228
d40328        0.021514   0.002949
d41058        0.037894   0.003023
d41237        0.055311   0.003007
d41389        0.027449   0.003067
d41732        0.037871   0.003597
decor21       0.033313   0.004690
