            clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens  nsites nhetero heterozygosity
L20090356         444900.0             86808             1628              986         44522 4932298   30434        0.00617
L2DZ0984          345536.0             74661             1609              951         31154 3327046   32808        0.00986
L2DZ0988          584300.0             99273             1970             1365         37289 3992606   41776        0.01046
L2DZ0989          446267.0             84746             1506              999         30454 3533034   24957        0.00706
L2DZ0990          392360.0             84266             2053             1222         41003 4811147   41917        0.00871
L2DZ1006          920908.0            202621             3065             2088         57623 6009577   66292        0.01103
L2DZ1007          596450.0            155404             4605             2031         63110 7497865   77551        0.01034
L2DZ1011          366986.0             86696             1604              904         30734 3337973   41409        0.01241
L2DZ1016          321589.0             58104             1347              765         21544 2342100   26358        0.01125
L2DZ1019          619604.0            119339             2455             1438         23999 2310092   39068        0.01691
L2DZ1027          640479.0            121931             2679             1555         43599 4450944   55536        0.01248
L2DZ1060         1037905.0            257291             3891             3083         74723 7829306   90629        0.01158
L2DZ1070          604879.0            118263             4305             2285         50844 5203352   80260        0.01542
L2DZ1180          500335.0            110303             2457             1466         36230 3862392   50062        0.01296
L2DZ1204          240744.0             46353              955              627         15758 1790857   20629        0.01152
L2DZ1243          516679.0            111816             2190             1358         47061 5087441   50225        0.00987
L2DZ1266          327840.0             75011              932              593         21816 2540700   20380        0.00802
L2DZ1268          284601.0             51982             1042              724         14614 1604812   22926        0.01429
L2DZ1282_1        209561.0             48042             1020              692         19406 2131926   22185        0.01041
LHW10069          346860.0             70283             2494             1247         31456 3439650   45592        0.01325
LHW10071          363977.0             75333             3263             1584         25758 2820067   51791        0.01837
LHW10074          759811.0            165648             6632             2873         63547 6690953  115085        0.01720
LHW10346          299374.0             51758              832              761         14257 1753177   17690        0.01009
LJ-118            421105.0             78395             1818             1022         25325 2890967   38891        0.01345
d19long1          171990.0             28913              455              430          7925  888395   10296        0.01159
d30181            475479.0            109354             1894             1159         43125 4059439   47174        0.01162
d30695            526183.0            119461             2799             1619         41121 4562537   61333        0.01344
d31733            448588.0            109326             1905             1076         34203 3525259   45570        0.01293
d33291            174267.0             42858              864              454         10949 1134706   15952        0.01406
d34041            156352.0             39677              567              294         15070 1179298   21021        0.01783
d35178            359603.0             88792              979              503         35670 2861615   44412        0.01552
d35320            162412.0             33427              481              279          8695  922920   12221        0.01324
d35371             54200.0             10918              165               85          5323  474566    4597        0.00969
d35422            147716.0             30836              559              392          9617  790180   18352        0.02323
d39103            645998.0            161223             4280             2047         44402 4470557   76007        0.01700
d39104             90566.0             19501              225              338          6110  600586    7288        0.01213
d39114            223422.0             53207             1015              600         25090 2658816   26991        0.01015
d39187            111203.0             31225              712              383         10863 1243450   16741        0.01346
d39253            475190.0            117799             3073             1455         39916 4411311   65527        0.01485
d39404            267647.0             61843             1821              991         20145 2170290   36106        0.01664
d39531            355282.0             79947             1498              908         24279 2665418   36858        0.01383
d39968            470533.0            101865             3412             1613         47394 4914205   72167        0.01469
d40328            132941.0             31151              754              458         17575 1792332   22035        0.01229
d41058            293565.0             54943              715              455         10739  898709   17280        0.01923
d41237            249740.0             54021              617              480          8502  652387   19541        0.02995
d41389            188220.0             40126              715              489         16558 1467934   23688        0.01614
d41732            395227.0            102482             1173              757         19763 1600243   33319        0.02082
decor21           496760.0            129901             2222             1162         35438 3022618   60941        0.02016
